"ADP","player_name","Team","Pos","year","player_age","b_game","pa","woba","xwoba","exit_velocity_avg","barrel_batted_rate","hard_hit_percent","sweet_spot_percent","oz_swing_percent","whiff_percent","k_percent","bb_percent","avg_swing_speed","avg_swing_length","r_total_stolen_base","r_total_caught_stealing","percentile_xwoba","percentile_exit_velocity_avg","percentile_barrel_batted_rate","percentile_hard_hit_percent","percentile_oz_swing_percent","percentile_whiff_percent","percentile_k_percent","percentile_bb_percent","percentile_avg_swing_speed","percentile_avg_swing_length","player_id","p_game","p_formatted_ip","p_save","p_hold","p_starting_p","fastball_avg_speed","breaking_avg_spin","percentile_fastball_avg_speed","percentile_breaking_avg_spin"
196,"Megill, Trevor","Mil","RP",2022,28,NA,NA,0.33,0.34,92.2,8.5,48.1,NA,30.1,25.3,25,8.7,NA,NA,NA,NA,0.728900255754476,0.938618925831202,0.645780051150895,0.902813299232737,0.643222506393862,0.529411764705882,0.718670076726343,0.482097186700767,NA,NA,656730,39,45,0,3,0,98.1,2755,0.971758664955071,0.92496765847348
196,"Megill, Trevor","Mil","RP",2023,29,NA,NA,0.309,0.279,90.7,7.2,38.6,NA,29.1,32.5,35.1,8.1,NA,NA,NA,NA,0.118251928020566,0.802056555269923,0.388174807197943,0.456298200514139,0.573264781491003,0.883033419023136,0.966580976863753,0.362467866323907,NA,NA,656730,31,34.2,0,4,2,99.1,2811,0.987129987129987,0.949019607843137
197,"Horwitz, Spencer","Pit","1B, 2B",2023,25,15,44,0.322,0.296,87,7.4,37,37,25.6,28.4,27.3,9.1,69.9,7.2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
197,"Horwitz, Spencer","Pit","1B, 2B",2024,26,97,381,0.344,0.338,88.2,8,36.6,37.4,25.7,19.4,18.4,11,69.5,7,0,0,0.847402597402597,0.472402597402597,0.603896103896104,0.444805194805195,0.323051948051948,0.160714285714286,0.212662337662338,0.827922077922078,0.26948051948052,0.186688311688312,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
198,"Bleday, JJ","Ath","OF",2022,24,65,238,0.266,0.28,86.3,8.6,33.8,37.4,24.3,27.9,28.2,12.6,NA,NA,4,1,0.377916018662519,0.237947122861586,0.671850699844479,0.36547433903577,0.237947122861586,0.598755832037325,0.685847589424572,0.922239502332815,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
198,"Bleday, JJ","Ath","OF",2023,25,82,303,0.297,0.3,88.6,6.4,35.3,29.9,20,28.2,23.8,13.9,72.5,7.3,5,1,0.453376205787781,0.5,0.445337620578778,0.382636655948553,0.0932475884244373,0.565916398713826,0.479099678456592,0.92604501607717,0.686486486486486,0.437837837837838,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
198,"Bleday, JJ","Ath","OF",2024,26,159,642,0.33,0.319,88.5,8.3,36.2,37.1,24.7,26.1,19.5,10.4,71.7,7.3,2,3,0.722402597402597,0.535714285714286,0.626623376623377,0.430194805194805,0.262987012987013,0.487012987012987,0.258116883116883,0.771103896103896,0.574675324675325,0.477272727272727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
199,"Volpe, Anthony","NYY","SS",2023,22,159,601,0.29,0.308,88.7,9,43,35.5,28.7,28.2,27.8,8.7,70.9,7.1,24,5,0.527331189710611,0.514469453376206,0.670418006430868,0.717041800643087,0.509646302250804,0.565916398713826,0.678456591639871,0.585209003215434,0.463063063063063,0.230630630630631,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
199,"Volpe, Anthony","NYY","SS",2024,23,160,689,0.287,0.278,87.7,3.9,35.4,33.3,29.3,22.6,22.6,6.1,69.5,7.1,28,7,0.316558441558442,0.397727272727273,0.262987012987013,0.397727272727273,0.545454545454545,0.287337662337662,0.412337662337662,0.287337662337662,0.26948051948052,0.26948051948052,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
200,"Robert Jr., Luis","ChW","OF",2022,24,98,401,0.324,0.327,89.3,8.9,42.8,32.6,43.2,27.1,19.2,4.2,NA,NA,11,3,0.805598755832037,0.670295489891135,0.699844479004666,0.763608087091757,0.97045101088647,0.53343701399689,0.253499222395023,0.143079315707621,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
200,"Robert Jr., Luis","ChW","OF",2023,25,145,595,0.358,0.347,89.1,15.4,42.3,38,40.5,33.5,28.9,5,75.9,8,20,4,0.861736334405145,0.570739549839228,0.930868167202572,0.688102893890675,0.938906752411576,0.823151125401929,0.733118971061093,0.160771704180064,0.96036036036036,0.954954954954955,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
200,"Robert Jr., Luis","ChW","OF",2024,26,100,425,0.285,0.277,90.1,9.9,40.7,35.6,35.9,36.1,33.2,6.6,74.5,7.7,23,6,0.308441558441558,0.771103896103896,0.738636363636364,0.633116883116883,0.852272727272727,0.909090909090909,0.873376623376623,0.358766233766234,0.891233766233766,0.847402597402597,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201,"Shaw, Matt","ChC","3B, 2B, SS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
202,"Fairbanks, Pete","TB","RP",2022,28,NA,NA,0.176,0.154,87.3,2.2,26.7,NA,37.1,35.9,43.7,3.4,NA,NA,NA,NA,0,0.216112531969309,0.0485933503836317,0.0447570332480818,0.966751918158568,0.959079283887468,0.99616368286445,0.0370843989769821,NA,NA,664126,24,24,8,6,0,99,2465,0.988446726572529,0.578266494178525
202,"Fairbanks, Pete","TB","RP",2023,29,NA,NA,0.24,0.252,85.7,3.3,35.9,NA,28.2,30.7,37,10.9,NA,NA,NA,NA,0.0269922879177378,0.0655526992287918,0.070694087403599,0.295629820051414,0.493573264781491,0.822622107969152,0.978149100257069,0.699228791773779,NA,NA,664126,49,45.1,25,2,0,98.9,2511,0.979407979407979,0.62875816993464
202,"Fairbanks, Pete","TB","RP",2024,30,NA,NA,0.265,0.312,89.1,5.6,41.1,NA,22.7,21.8,23.8,9.2,NA,NA,NA,NA,0.439024390243902,0.531450577663671,0.231065468549422,0.617458279845956,0.109114249037227,0.278562259306804,0.644415917843389,0.566110397946085,NA,NA,664126,46,45.1,23,1,0,97.3,2548,0.940721649484536,0.634941329856584
203,"Tovar, Ezequiel","Col","SS",2022,20,9,35,0.261,0.3,88.6,12.5,33.3,37.5,40,32.4,25.7,5.7,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
203,"Tovar, Ezequiel","Col","SS",2023,21,153,615,0.298,0.291,88,8.1,36.2,36.4,42,31.3,27,4.1,72,7.5,11,5,0.37620578778135,0.406752411575563,0.620578778135048,0.408360128617363,0.951768488745981,0.733118971061093,0.636655948553055,0.101286173633441,0.618018018018018,0.67027027027027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
203,"Tovar, Ezequiel","Col","SS",2024,22,157,695,0.324,0.289,88.8,9,39.8,38.5,44.1,33.5,28.8,3.3,71.3,7.5,6,5,0.423701298701299,0.576298701298701,0.680194805194805,0.589285714285714,0.980519480519481,0.844155844155844,0.74025974025974,0.0811688311688312,0.521103896103896,0.676948051948052,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
