"ADP","player_name","Team","Pos","year","player_age","b_game","pa","woba","xwoba","exit_velocity_avg","barrel_batted_rate","hard_hit_percent","sweet_spot_percent","oz_swing_percent","whiff_percent","k_percent","bb_percent","avg_swing_speed","avg_swing_length","r_total_stolen_base","r_total_caught_stealing","percentile_xwoba","percentile_exit_velocity_avg","percentile_barrel_batted_rate","percentile_hard_hit_percent","percentile_oz_swing_percent","percentile_whiff_percent","percentile_k_percent","percentile_bb_percent","percentile_avg_swing_speed","percentile_avg_swing_length","player_id","p_game","p_formatted_ip","p_save","p_hold","p_starting_p","fastball_avg_speed","breaking_avg_spin","percentile_fastball_avg_speed","percentile_breaking_avg_spin"
1,"Ohtani, Shohei","LAD","DH, SP",2022,27,157,666,0.37,0.383,92.9,16.8,49.8,35,28.4,28.1,24.2,10.8,NA,NA,11,9,0.989113530326594,0.967340590979782,0.978227060653188,0.942457231726283,0.455676516329705,0.606531881804043,0.480559875583204,0.821150855365474,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"Ohtani, Shohei","LAD","DH, SP",2023,28,135,599,0.433,0.427,94.4,19.6,54.2,35.6,29.7,32.3,23.9,15.2,77.4,7.9,20,6,0.990353697749196,0.995176848874598,0.985530546623794,0.967845659163987,0.569131832797428,0.779742765273312,0.487138263665595,0.964630225080386,0.987387387387387,0.922522522522523,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"Ohtani, Shohei","LAD","DH, SP",2024,29,159,731,0.431,0.442,95.8,21.5,60.1,37.8,26.6,29.8,22.2,11.1,76.3,7.8,59,4,0.99512987012987,0.99512987012987,0.996753246753247,0.993506493506494,0.387987012987013,0.691558441558442,0.392857142857143,0.840909090909091,0.970779220779221,0.892857142857143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"Ohtani, Shohei","LAD","DH, SP",2022,27,NA,NA,0.255,0.256,87.1,6.3,33.2,NA,28.6,33.1,33.2,6.7,NA,NA,NA,NA,0.081841432225064,0.187979539641944,0.336317135549872,0.18542199488491,0.519181585677749,0.90153452685422,0.953964194373402,0.268542199488491,NA,NA,660271,28,166,0,0,28,95.8,2491,0.834403080872914,0.627425614489004
1,"Ohtani, Shohei","LAD","DH, SP",2023,28,NA,NA,0.277,0.302,86.4,10.1,35,NA,25.7,30.8,31.5,10.4,NA,NA,NA,NA,0.295629820051414,0.106683804627249,0.749357326478149,0.251928020565553,0.280205655526992,0.829048843187661,0.93573264781491,0.65038560411311,NA,NA,660271,23,132,0,0,23,94.2,2494,0.608751608751609,0.602614379084967
2,"Judge, Aaron","NYY","OF, DH",2022,30,157,696,0.458,0.463,95.9,26.5,61.8,39,22.9,29.8,25.1,15.9,NA,NA,16,3,1,0.996889580093313,0.993779160186625,0.996889580093313,0.161741835147745,0.685847589424572,0.541213063763608,0.982892690513219,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"Judge, Aaron","NYY","OF, DH",2023,31,106,458,0.42,0.461,97.6,27.5,64.2,37.1,19.5,36.6,28.4,19.2,76.4,8.1,3,1,0.998392282958199,0.998392282958199,0.998392282958199,0.995176848874598,0.0771704180064309,0.913183279742765,0.705787781350482,0.993569131832797,0.974774774774775,0.974774774774775,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"Judge, Aaron","NYY","OF, DH",2024,32,158,704,0.476,0.479,96.2,26.9,61,40.8,18.7,30.7,24.3,18.9,77.2,8.2,10,0,0.998376623376623,0.996753246753247,1,0.99512987012987,0.0535714285714286,0.737012987012987,0.498376623376623,0.99512987012987,0.98538961038961,0.983766233766234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,"Soto, Juan","NYM","OF",2022,23,153,664,0.376,0.401,91,12.4,47.4,28.5,17.2,19.4,14.5,20.3,NA,NA,6,2,0.992223950233281,0.880248833592535,0.888024883359253,0.906687402799378,0.0217729393468118,0.132192846034215,0.0808709175738725,0.995334370139969,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,"Soto, Juan","NYM","OF",2023,24,162,708,0.395,0.408,93.2,13,55.3,28.5,16.6,20.5,18.2,18.6,74.6,7.3,12,5,0.985530546623794,0.97427652733119,0.881028938906752,0.980707395498392,0.0273311897106109,0.178456591639871,0.180064308681672,0.991961414790997,0.893693693693694,0.437837837837838,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,"Soto, Juan","NYM","OF",2024,25,157,713,0.421,0.462,94.2,19.7,57,35.4,18.3,21.5,16.7,18.1,75.5,7.3,7,4,0.996753246753247,0.98538961038961,0.99025974025974,0.987012987012987,0.038961038961039,0.23538961038961,0.149350649350649,0.988636363636364,0.956168831168831,0.477272727272727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,"Witt Jr., Bobby","KC","SS",2022,22,150,632,0.311,0.313,89.7,8.7,38.6,32.5,34.7,25.2,21.4,4.7,NA,NA,30,7,0.684292379471229,0.738724727838258,0.68895800933126,0.583203732503888,0.771384136858476,0.42457231726283,0.351477449455676,0.1850699844479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,"Witt Jr., Bobby","KC","SS",2023,23,158,694,0.343,0.369,90.7,11.5,45.6,34.4,30.6,22.8,17.4,5.8,75.1,7,49,15,0.95016077170418,0.811897106109325,0.823151125401929,0.802250803858521,0.627009646302251,0.286173633440514,0.157556270096463,0.244372990353698,0.920720720720721,0.181981981981982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,"Witt Jr., Bobby","KC","SS",2024,24,161,709,0.41,0.407,92.7,14.3,48.3,35.7,32.1,22.3,15,8,74.7,7.1,31,12,0.99025974025974,0.956168831168831,0.925324675324675,0.904220779220779,0.693181818181818,0.267857142857143,0.0892857142857143,0.535714285714286,0.907467532467532,0.26948051948052,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,"Ramirez, Jose","Cle","3B, DH",2022,29,157,685,0.363,0.32,87.7,6.6,36.9,33.7,28.7,15.3,12,10.1,NA,NA,20,7,0.743390357698289,0.432348367029549,0.527216174183515,0.494556765163297,0.477449455676516,0.046656298600311,0.0388802488335925,0.765163297045101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,"Ramirez, Jose","Cle","3B, DH",2023,30,156,691,0.346,0.359,90,7,40.4,36.8,28.2,15.6,10.6,10.6,70.5,7.2,28,6,0.914790996784566,0.726688102893891,0.512861736334405,0.607717041800643,0.464630225080386,0.0434083601286174,0.0160771704180064,0.768488745980707,0.409009009009009,0.331531531531532,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,"Ramirez, Jose","Cle","3B, DH",2024,31,158,682,0.364,0.329,89.2,8.6,39.7,34,31.7,15.2,12,7.9,71.6,7.3,41,7,0.800324675324675,0.642857142857143,0.650974025974026,0.582792207792208,0.675324675324675,0.0535714285714286,0.0308441558441558,0.519480519480519,0.555194805194805,0.477272727272727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,"Betts, Mookie","LAD","SS, OF",2022,29,142,639,0.373,0.344,90.5,9.7,44.9,36.2,22.2,16.5,16.3,8.6,NA,NA,12,2,0.895800933125972,0.839813374805599,0.743390357698289,0.833592534992224,0.138413685847589,0.0762052877138414,0.139968895800933,0.589424572317263,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,"Betts, Mookie","LAD","SS, OF",2023,30,152,693,0.416,0.407,92.4,12.4,48.5,42.5,16.6,16.7,15.4,13.9,71.2,7.2,14,3,0.983922829581994,0.951768488745981,0.866559485530547,0.884244372990354,0.0273311897106109,0.0691318327974277,0.0932475884244373,0.92604501607717,0.499099099099099,0.331531531531532,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,"Betts, Mookie","LAD","SS, OF",2024,31,116,516,0.371,0.356,89.9,6,39.5,39.3,21.1,14.9,11,11.8,69.1,6.9,16,2,0.930194805194805,0.74512987012987,0.439935064935065,0.576298701298701,0.121753246753247,0.0503246753246753,0.0243506493506494,0.892857142857143,0.232142857142857,0.121753246753247,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,"Tucker, Kyle","ChC","OF",2022,25,150,609,0.348,0.353,90,10.2,42.4,34.4,26.1,20,15.6,9.7,NA,NA,25,4,0.939346811819596,0.776049766718507,0.785381026438569,0.746500777604977,0.340590979782271,0.15552099533437,0.11353032659409,0.707620528771384,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,"Tucker, Kyle","ChC","OF",2023,26,157,674,0.372,0.386,90.2,10.6,45.9,35.4,21.6,18.5,13.6,11.9,71.8,7.5,30,5,0.97427652733119,0.762057877813505,0.768488745980707,0.813504823151125,0.139871382636656,0.115755627009646,0.0546623794212219,0.845659163987138,0.58018018018018,0.67027027027027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,"Tucker, Kyle","ChC","OF",2024,27,78,339,0.419,0.4,91.1,12.9,44.9,40,17.5,19,15.9,16.5,72.1,7.5,11,0,0.98538961038961,0.86038961038961,0.897727272727273,0.798701298701299,0.0227272727272727,0.137987012987013,0.125,0.983766233766234,0.63961038961039,0.676948051948052,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,"Skubal, Tarik","Det","SP",2023,26,NA,NA,0.238,0.236,88.5,4.2,40.3,NA,33.5,31.3,32.9,4.5,NA,NA,NA,NA,0.0154241645244216,0.372750642673522,0.109254498714653,0.55012853470437,0.898457583547558,0.852185089974293,0.952442159383033,0.0565552699228792,NA,NA,669373,15,80.1,0,0,15,95.8,2136,0.83011583011583,0.0980392156862745
8,"Skubal, Tarik","Det","SP",2022,25,NA,NA,0.289,0.285,89.3,5.5,39.4,NA,30.2,26.4,24.5,6.7,NA,NA,NA,NA,0.248081841432225,0.61764705882353,0.253196930946292,0.572890025575448,0.650895140664962,0.603580562659846,0.70076726342711,0.268542199488491,NA,NA,669373,21,117.2,0,0,21,94.4,2138,0.645699614890886,0.10608020698577
8,"Skubal, Tarik","Det","SP",2024,27,NA,NA,0.246,0.257,87.5,6.7,33.9,NA,31.1,31.9,30.3,4.6,NA,NA,NA,NA,0.0629011553273428,0.218228498074454,0.331193838254172,0.183568677792041,0.785622593068036,0.889602053915276,0.908857509627728,0.0847240051347882,NA,NA,669373,31,192,0,0,31,96.8,2155,0.90979381443299,0.101694915254237
9,"Skenes, Paul","Pit","SP",2024,22,NA,NA,0.247,0.248,87.8,5.2,36.3,NA,30.9,28.7,33.1,6.2,NA,NA,NA,NA,0.0449293966623877,0.264441591784339,0.202824133504493,0.30808729139923,0.772785622593068,0.757381258023107,0.947368421052632,0.216944801026958,NA,NA,694973,23,133,0,0,23,96.8,2407,0.90979381443299,0.40026075619296
10,"Guerrero Jr., Vladimir","Tor","1B, DH",2022,23,160,706,0.351,0.351,92.8,11.2,50.4,27.9,30.5,24.4,16.4,8.2,NA,NA,8,3,0.925349922239502,0.964230171073095,0.835147744945568,0.956454121306376,0.567651632970451,0.377916018662519,0.144634525660964,0.547433903576983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,"Guerrero Jr., Vladimir","Tor","1B, DH",2023,24,156,682,0.34,0.378,92.1,11.1,49.2,32.4,28.8,23,14.7,9.8,75.5,7.6,5,3,0.969453376205788,0.929260450160772,0.79903536977492,0.903536977491961,0.520900321543408,0.302250803858521,0.0836012861736334,0.692926045016077,0.938738738738739,0.758558558558559,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,"Guerrero Jr., Vladimir","Tor","1B, DH",2024,25,159,697,0.398,0.408,93.8,13.7,54.9,35.1,27.5,21.5,13.8,10.3,75.9,7.7,2,2,0.991883116883117,0.980519480519481,0.922077922077922,0.977272727272727,0.436688311688312,0.23538961038961,0.0551948051948052,0.762987012987013,0.962662337662338,0.847402597402597,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,"Alvarez, Yordan","Hou","OF, DH",2022,25,135,561,0.427,0.46,95.2,21,59.8,40.7,24.8,23.5,18.9,13.9,NA,NA,1,1,0.998444790046656,0.992223950233281,0.992223950233281,0.990668740279938,0.258164852255054,0.328149300155521,0.242612752721617,0.948678071539658,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,"Alvarez, Yordan","Hou","OF, DH",2023,26,114,496,0.415,0.435,93.3,18,52.2,35.7,26.1,22.4,18.5,13.9,76.8,7.6,0,0,0.993569131832797,0.977491961414791,0.977491961414791,0.956591639871383,0.323151125401929,0.265273311897106,0.19935691318328,0.92604501607717,0.981981981981982,0.758558558558559,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,"Alvarez, Yordan","Hou","OF, DH",2024,27,147,635,0.402,0.411,93.1,14.5,49.7,35.4,30.5,19.9,15,10.9,76.6,7.6,6,0,0.993506493506494,0.969155844155844,0.931818181818182,0.933441558441558,0.62012987012987,0.175324675324675,0.0892857142857143,0.818181818181818,0.977272727272727,0.767857142857143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,"Henderson, Gunnar","Bal","SS",2022,21,34,132,0.343,0.338,92.4,9.8,53.7,25.6,17.9,26.6,25.8,12.1,NA,NA,1,1,0.866251944012442,0.954898911353033,0.749611197511664,0.981337480559876,0.0295489891135303,0.497667185069984,0.567651632970451,0.895800933125972,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,"Henderson, Gunnar","Bal","SS",2023,22,150,622,0.346,0.346,92,11.4,52,32.9,26.5,26.4,25.6,9,75.4,7.2,10,3,0.85048231511254,0.927652733118971,0.816720257234727,0.951768488745981,0.347266881028939,0.471061093247588,0.57395498392283,0.618971061093248,0.936936936936937,0.331531531531532,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,"Henderson, Gunnar","Bal","SS",2024,23,159,719,0.381,0.374,92.8,11.2,53.9,34.5,23.2,24.4,22.1,10.8,76.3,7.2,21,4,0.961038961038961,0.957792207792208,0.823051948051948,0.974025974025974,0.186688311688312,0.38961038961039,0.386363636363636,0.811688311688312,0.970779220779221,0.358766233766234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,"Wheeler, Zack","Phi","SP",2022,32,NA,NA,0.275,0.275,85.9,7.7,34.5,NA,32.8,25.1,26.9,5.6,NA,NA,NA,NA,0.175191815856777,0.0869565217391304,0.554987212276215,0.257033248081841,0.865728900255754,0.508951406649616,0.797953964194373,0.139386189258312,NA,NA,554430,26,153,0,0,26,94.2,2654,0.617458279845956,0.84993531694696
13,"Wheeler, Zack","Phi","SP",2023,33,NA,NA,0.277,0.277,86.9,5.1,36.4,NA,32.1,28.6,26.9,5,NA,NA,NA,NA,0.110539845758355,0.15681233933162,0.174807197943445,0.323907455012853,0.823907455012853,0.7146529562982,0.790488431876607,0.0861182519280206,NA,NA,554430,32,192,0,0,32,94.7,2686,0.698841698841699,0.864052287581699
13,"Wheeler, Zack","Phi","SP",2024,34,NA,NA,0.256,0.261,86.5,8.3,33.6,NA,33.8,27.5,28.5,6.6,NA,NA,NA,NA,0.0847240051347882,0.118100128369705,0.567394094993582,0.173299101412067,0.921694480102696,0.679075738125802,0.86007702182285,0.260590500641849,NA,NA,554430,32,200,0,0,32,94.5,2636,0.655927835051546,0.779661016949153
14,"Carroll, Corbin","Ari","OF",2022,21,32,115,0.358,0.293,85.8,5.5,32.9,34.2,26.4,29.3,27,7,NA,NA,2,1,0.510108864696734,0.1850699844479,0.430793157076205,0.321928460342146,0.357698289269051,0.66407465007776,0.631415241057543,0.42457231726283,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,"Carroll, Corbin","Ari","OF",2023,22,155,645,0.37,0.344,90,7.6,40.9,32.7,28,21.6,19.4,8.8,73.3,6.8,54,5,0.839228295819936,0.726688102893891,0.559485530546624,0.635048231511254,0.453376205787781,0.220257234726688,0.239549839228296,0.596463022508039,0.776576576576577,0.0792792792792793,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,"Carroll, Corbin","Ari","OF",2024,23,158,684,0.325,0.324,89.3,7.2,40.8,27.8,24.9,20.3,19,10.7,73.7,7,35,8,0.758116883116883,0.665584415584416,0.542207792207792,0.642857142857143,0.277597402597403,0.188311688311688,0.23538961038961,0.801948051948052,0.832792207792208,0.186688311688312,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,"Lindor, Francisco","NYM","SS",2022,28,161,706,0.342,0.331,89.3,8.3,41.3,29.2,29.9,22.9,18.8,8.4,NA,NA,16,6,0.825816485225505,0.670295489891135,0.651632970451011,0.701399688958009,0.536547433903577,0.300155520995334,0.233281493001555,0.566096423017107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,"Lindor, Francisco","NYM","SS",2023,29,160,687,0.346,0.346,91.2,10.4,43.9,35.8,27.2,22.8,19.9,9.6,71,7.6,31,4,0.85048231511254,0.860128617363344,0.755627009646302,0.744372990353698,0.401929260450161,0.286173633440514,0.262057877813505,0.668810289389068,0.475675675675676,0.758558558558559,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,"Lindor, Francisco","NYM","SS",2024,30,152,689,0.363,0.379,90.9,13.6,47.4,35.4,26.3,23.7,18.4,8.1,72.3,7.6,29,4,0.965909090909091,0.837662337662338,0.918831168831169,0.876623376623377,0.366883116883117,0.357142857142857,0.212662337662338,0.547077922077922,0.655844155844156,0.767857142857143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,"Freeman, Freddie","LAD","1B",2022,32,159,708,0.393,0.403,91.3,9.9,47.8,42.9,27.3,19.5,14.4,11.9,NA,NA,13,3,0.993779160186625,0.906687402799378,0.762052877138414,0.914463452566096,0.3950233281493,0.139968895800933,0.0777604976671851,0.88646967340591,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,"Freeman, Freddie","LAD","1B",2023,33,161,730,0.411,0.408,90,11.1,42.2,46.6,26.9,20.4,16.6,9.9,70.5,6.8,23,1,0.985530546623794,0.726688102893891,0.79903536977492,0.683279742765273,0.384244372990354,0.17524115755627,0.133440514469453,0.707395498392283,0.409009009009009,0.0792792792792793,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,"Freeman, Freddie","LAD","1B",2024,34,147,638,0.365,0.367,89.4,9.1,41.8,43.1,26.6,20.2,15.7,12.2,69.8,6.8,9,2,0.956168831168831,0.675324675324675,0.685064935064935,0.689935064935065,0.387987012987013,0.180194805194805,0.116883116883117,0.909090909090909,0.314935064935065,0.0681818181818182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,"Tatis Jr., Fernando","SD","OF",2023,24,141,635,0.332,0.364,91.9,11,49.3,31.5,32.3,30.5,22.2,8.3,73,7.4,29,4,0.930868167202572,0.916398713826367,0.790996784565916,0.906752411575563,0.718649517684887,0.707395498392283,0.372990353697749,0.536977491961415,0.745945945945946,0.563963963963964,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,"Tatis Jr., Fernando","SD","OF",2024,25,102,438,0.359,0.387,93.5,14.5,55.8,33.7,28.2,28.1,21.9,7.3,74.9,7.4,11,3,0.975649350649351,0.975649350649351,0.931818181818182,0.983766233766234,0.487012987012987,0.589285714285714,0.378246753246753,0.452922077922078,0.917207792207792,0.579545454545455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,"Gilbert, Logan","Sea","SP",2024,27,NA,NA,0.255,0.276,89.6,7.2,39.3,NA,29.9,31.7,27.4,4.6,NA,NA,NA,NA,0.133504492939666,0.641848523748395,0.396662387676508,0.51219512195122,0.676508344030809,0.884467265725289,0.820282413350449,0.0847240051347882,NA,NA,669302,33,208.2,0,0,33,95.5,2008,0.793814432989691,0.0338983050847458
18,"Gilbert, Logan","Sea","SP",2022,25,NA,NA,0.299,0.314,91,7.1,45.6,NA,25.8,24.2,22.7,6.4,NA,NA,NA,NA,0.50383631713555,0.850383631713555,0.462915601023018,0.855498721227621,0.281329923273657,0.429667519181586,0.585677749360614,0.225063938618926,NA,NA,669302,32,185.2,0,0,32,96.1,2231,0.869062901155327,0.221216041397154
18,"Gilbert, Logan","Sea","SP",2023,26,NA,NA,0.29,0.297,90.5,9,44.6,NA,29.8,26.4,24.5,4.7,NA,NA,NA,NA,0.248071979434447,0.768637532133676,0.625964010282776,0.79305912596401,0.649100257069409,0.575835475578406,0.663239074550129,0.0694087403598972,NA,NA,669302,32,190.2,0,0,32,95.7,2107,0.821106821106821,0.0745098039215686
19,"Marte, Ketel","Ari","2B, DH",2022,28,137,558,0.317,0.315,90.1,6.1,41.9,31.6,28.1,20.7,18.1,9.9,NA,NA,5,1,0.698289269051322,0.786936236391913,0.472783825816485,0.726283048211509,0.435458786936236,0.181959564541213,0.206842923794712,0.735614307931571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,"Marte, Ketel","Ari","2B, DH",2023,29,150,650,0.361,0.342,91.1,8,42.8,30.8,24.5,20.5,16.8,10.9,73.4,7.5,8,2,0.829581993569132,0.84887459807074,0.612540192926045,0.707395498392283,0.245980707395498,0.178456591639871,0.143086816720257,0.797427652733119,0.787387387387387,0.67027027027027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,"Marte, Ketel","Ari","2B, DH",2024,30,136,583,0.391,0.392,94,12.3,53.8,33.7,26,21.3,18.2,11.1,73.7,7.6,7,1,0.978896103896104,0.983766233766234,0.871753246753247,0.970779220779221,0.350649350649351,0.227272727272727,0.198051948051948,0.840909090909091,0.832792207792208,0.767857142857143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,"Cole, Gerrit","NYY","SP",2024,33,NA,NA,0.286,0.296,89.7,7.4,39.5,NA,27.3,24.8,25.4,7.4,NA,NA,NA,NA,0.290115532734275,0.657252888318357,0.426187419768935,0.534017971758665,0.41206675224647,0.492939666238768,0.739409499358151,0.34017971758665,NA,NA,543037,17,95,0,0,17,94.8,2658,0.70360824742268,0.804432855280313
20,"Cole, Gerrit","NYY","SP",2023,32,NA,NA,0.256,0.289,89.2,7.6,39.2,NA,29.9,26.2,27,5.8,NA,NA,NA,NA,0.183804627249357,0.507712082262211,0.430591259640103,0.493573264781491,0.654241645244216,0.555269922879177,0.794344473007712,0.132390745501285,NA,NA,543037,33,209,0,0,33,96.2,2631,0.876447876447876,0.806535947712418
20,"Cole, Gerrit","NYY","SP",2022,31,NA,NA,0.283,0.284,89.4,9.5,40.2,NA,32.4,34.1,32.4,6.3,NA,NA,NA,NA,0.235294117647059,0.639386189258312,0.742966751918159,0.631713554987212,0.837595907928389,0.930946291560102,0.941176470588235,0.209718670076726,NA,NA,543037,33,200.2,0,0,33,97.1,2637,0.937098844672657,0.835705045278137
21,"Cease, Dylan","SD","SP",2022,26,NA,NA,0.263,0.257,86.8,6.2,31.2,NA,31.3,33.3,30.4,10.4,NA,NA,NA,NA,0.0831202046035806,0.166240409207161,0.324808184143222,0.111253196930946,0.755754475703325,0.907928388746803,0.90537084398977,0.684143222506394,NA,NA,656302,32,184,0,0,32,96.8,2800,0.911424903722721,0.943078913324709
21,"Cease, Dylan","SD","SP",2024,28,NA,NA,0.266,0.283,89,8.5,38.6,NA,30.5,32.4,29.4,8.5,NA,NA,NA,NA,0.186136071887035,0.501925545571245,0.595635430038511,0.465982028241335,0.735558408215661,0.905006418485237,0.889602053915276,0.48395378690629,NA,NA,656302,33,189.1,0,0,33,96.8,2780,0.90979381443299,0.917861799217731
21,"Cease, Dylan","SD","SP",2023,27,NA,NA,0.321,0.313,90,6.2,41.6,NA,28.2,31,27.3,10.1,NA,NA,NA,NA,0.39974293059126,0.668380462724936,0.263496143958869,0.619537275064267,0.493573264781491,0.839331619537275,0.808483290488432,0.616966580976864,NA,NA,656302,33,177,0,0,33,95.6,2752,0.812097812097812,0.916339869281046
22,"Burnes, Corbin","Ari","SP",2022,27,NA,NA,0.267,0.273,87.2,5.7,34.1,NA,33.5,35.2,30.5,6.4,NA,NA,NA,NA,0.166240409207161,0.203324808184143,0.280051150895141,0.242966751918159,0.89769820971867,0.946291560102302,0.90920716112532,0.225063938618926,NA,NA,669203,33,202,0,0,33,95.2,2775,0.761232349165597,0.930142302716688
22,"Burnes, Corbin","Ari","SP",2024,29,NA,NA,0.273,0.284,87.5,6.7,31.6,NA,33,28.6,23.1,6.1,NA,NA,NA,NA,0.198973042362003,0.218228498074454,0.331193838254172,0.0988446726572529,0.887034659820282,0.747111681643132,0.605905006418485,0.201540436456996,NA,NA,669203,32,194.1,0,0,32,95.5,2919,0.793814432989691,0.966101694915254
22,"Burnes, Corbin","Ari","SP",2023,28,NA,NA,0.266,0.285,86.4,5.3,32.4,NA,30,28.8,25.5,8.4,NA,NA,NA,NA,0.165809768637532,0.106683804627249,0.187660668380463,0.12853470437018,0.670951156812339,0.72879177377892,0.713367609254499,0.404884318766067,NA,NA,669203,32,193.2,0,0,32,94.5,2821,0.656370656370656,0.952941176470588
23,"Crochet, Garrett","Bos","SP",2024,25,NA,NA,0.28,0.263,88.3,9.2,38.8,NA,33.5,33.1,35.1,5.5,NA,NA,NA,NA,0.0911424903722722,0.331193838254172,0.697047496790757,0.473684210526316,0.910141206675225,0.917843388960205,0.970474967907574,0.145057766367137,NA,NA,676979,32,146,0,0,32,95.3,2455,0.77319587628866,0.486310299869622
23,"Crochet, Garrett","Bos","SP",2023,24,NA,NA,0.364,0.381,88.7,10.5,44.7,NA,24.7,26.2,18.8,20.3,NA,NA,NA,NA,0.880462724935733,0.420308483290488,0.784061696658098,0.800771208226221,0.222365038560411,0.555269922879177,0.302056555269923,0.973007712082262,NA,NA,676979,13,12.2,0,0,0,96.2,2227,0.876447876447876,0.193464052287582
24,"Contreras, William","Mil","C, DH",2022,24,97,376,0.37,0.347,90.4,13.4,46.6,31.9,28.8,34.3,27.7,10.4,NA,NA,2,0,0.909797822706065,0.825816485225505,0.930015552099533,0.883359253499222,0.480559875583204,0.83203732503888,0.662519440124417,0.791601866251944,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,"Contreras, William","Mil","C, DH",2023,25,141,611,0.357,0.335,91.3,9.4,48.7,27.1,24.7,28,20.6,10.3,73.8,7.3,6,1,0.782958199356913,0.866559485530547,0.697749196141479,0.889067524115756,0.2508038585209,0.554662379421222,0.289389067524116,0.7508038585209,0.828828828828829,0.437837837837838,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,"Contreras, William","Mil","C, DH",2024,26,155,679,0.359,0.358,92.8,10,49.5,29,25.6,27.8,20.5,11.5,74.7,7.3,9,2,0.933441558441558,0.957792207792208,0.746753246753247,0.925324675324675,0.313311688311688,0.577922077922078,0.310064935064935,0.878246753246753,0.907467532467532,0.477272727272727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,"Harper, Bryce","Phi","1B",2022,29,99,426,0.369,0.38,92.1,12.8,47.9,37.2,35.7,28.3,20.4,10.8,NA,NA,11,4,0.986003110419907,0.940902021772939,0.902021772939347,0.91601866251944,0.808709175738725,0.625194401244168,0.306376360808709,0.821150855365474,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,"Harper, Bryce","Phi","1B",2023,30,126,546,0.384,0.399,91.8,15.2,46.8,36.8,33.4,33.5,21.8,14.7,75.6,7.4,11,3,0.982315112540193,0.903536977491961,0.92604501607717,0.85048231511254,0.762057877813505,0.823151125401929,0.353697749196141,0.951768488745981,0.945945945945946,0.563963963963964,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
